Myth Cloth Original Name,Base Name,Price (JPY),Price (JPY) Tax,Announcement (JPY),Preorder (JPY),Release (JPY),Distributor (MXN),Price (MXN),Preorder (MXN),Release (MXN),Link,Distribution,LineUp,Series,Group,Metal,OCE,Revival,Restock,PlainCloth,Broken,Golden,Gold,HK,Manga,Surplice,Set,Static,Anniversary,Remarks,Events,tags,Official Images,Other Images
Andromeda Shun ~Final Bronze Cloth~ OCE EX,Andromeda Shun,"¥18,000","¥19,800",11/13/2025,5/15/2026,10/2026,,,,,https://tamashiiweb.com/item/15868/,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,Bronze Saint V3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,5/13/2026:Official images were released and the preorder date for the figurine was announced.,,"https://imagizer.imageshack.com/img922/6107/tquffV.jpg,https://imagizer.imageshack.com/img923/7843/9k3gME.jpg,https://imagizer.imageshack.com/img921/4005/sHkxXV.jpg,https://imagizer.imageshack.com/img923/6643/tlD8F9.jpg,https://imagizer.imageshack.com/img921/2258/0eikmk.jpg,https://imagizer.imageshack.com/img921/7179/XErwCN.jpg,https://imagizer.imageshack.com/img924/7362/a2wnAF.jpg,https://imagizer.imageshack.com/img922/2278/bURE6U.jpg",
Cygnus Hyoga ~Final Bronze Cloth~ OCE EX,Cygnus Hyoga,,,11/13/2025,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,,,"https://imagizer.imageshack.com/img922/7522/pWZO6L.jpg,https://imagizer.imageshack.com/img922/8939/dCZayY.jpg,https://imagizer.imageshack.com/img924/8753/r6SieA.jpg,https://imagizer.imageshack.com/img922/7929/KjKRwy.jpg",
Dragon Shiryu ~Final Bronze Cloth~ OCE EX,Dragon Shiryu,,,11/13/2025,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,,,"https://imagizer.imageshack.com/img923/622/u2gFay.jpg,https://imagizer.imageshack.com/img923/2937/dtdV0n.jpg,https://imagizer.imageshack.com/img922/5912/6d1vAn.jpg,https://imagizer.imageshack.com/img923/4514/DqOW9g.jpg",
Pegasus Seiya Zero,Pegasus Seiya,"¥23,000","¥25,300",4/26/2026,4/28/2026,12/2026,,,,,https://tamashiiweb.com/item/15834,Stores,Figuarts Zero Metallic Touch,Saint Seiya,Bronze Saint V1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"From the TV anime ""SAINT SEIYA,"" Pegasus Seiya (Initial Bronze Cloth) joins the Figuarts Zero Touche Métallique!","5/17/2026:A new promotional image has been released, confirming that the figurine is now available for preorder.",,"https://imagizer.imageshack.com/img924/6027/AJbpQw.jpg,https://imagizer.imageshack.com/img921/8424/5uYvHz.jpg,https://imagizer.imageshack.com/img923/2726/sF1NAU.jpg,https://imagizer.imageshack.com/img924/203/XOprCb.jpg,https://imagizer.imageshack.com/img923/8071/3I0qZr.jpg,https://imagizer.imageshack.com/img922/4890/yQ9szI.jpg,https://imagizer.imageshack.com/img922/9940/wvzUqy.jpg",
Pegasus Seiya ~Initial Bronze Cloth~ EX,Pegasus Seiya,"¥16,000","¥17,600",11/13/2025,7/1/2026,12/2026,DAM,,,,https://tamashiiweb.com/item/15905,Stores,Myth Cloth EX,Saint Seiya,Bronze Saint V1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,"4/26/2026:Confirmed for product release, a new image has been published on Tamashii's Instagram.|6/24/2026:The specialized magazine Saint Cloth Mythology shows a sneak peek of the new EX version of Pegasus Seiya, which is currently in production.|6/25/2026:MX:Distribuidora Animexico announced that the release date and price have yet to be confirmed.",,"https://imagizer.imageshack.com/img924/2144/HqWZCN.jpg,https://imagizer.imageshack.com/img924/6591/lkvjkL.jpg,https://imagizer.imageshack.com/img922/7530/v8b8te.jpg,https://imagizer.imageshack.com/img922/820/GsBWfn.jpg,https://imagizer.imageshack.com/img921/3064/FXWcvw.jpg,https://imagizer.imageshack.com/img922/535/8iKAvu.jpg,https://imagizer.imageshack.com/img923/1206/yMjxy6.jpg,https://imagizer.imageshack.com/img923/2151/w8ZWdt.jpg,https://imagizer.imageshack.com/img923/1957/j5wV2e.png,https://imagizer.imageshack.com/img923/645/LOl8zE.jpg,https://imagizer.imageshack.com/img923/6394/VTPuIW.png,https://imagizer.imageshack.com/img924/9427/uEpyf3.jpg,https://imagizer.imageshack.com/img924/9503/MqEkYl.png,https://imagizer.imageshack.com/img924/7914/CLABnF.png,https://imagizer.imageshack.com/img921/1133/qcMvgK.png,https://imagizer.imageshack.com/img924/8729/Bxb3eq.png,
https://imagizer.imageshack.com/img921/5351/SmdwGX.png,https://imagizer.imageshack.com/img923/2728/NwlIIo.png,https://imagizer.imageshack.com/img923/9402/Kfti4L.png,https://imagizer.imageshack.com/img924/7281/9p26MH.png,https://imagizer.imageshack.com/img922/7835/TK3ke2.png",
Libra Shiryu ~Inheritor of the Gold Cloth~ EX,Libra Shiryu,"¥24,000","¥26,400",11/13/2025,3/19/2026,8/2026,,,,,https://tamashiiweb.com/item/15815,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,Gold Inheritor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,3/17/2026:Official images were released and the preorder date for the figurine was announced.,,"https://imagizer.imageshack.com/img922/464/dgsNEX.jpg,https://imagizer.imageshack.com/img922/5814/dNcKYZ.jpg,https://imagizer.imageshack.com/img924/4874/0YzzIT.jpg,https://imagizer.imageshack.com/img922/2589/RN0tlT.jpg,https://imagizer.imageshack.com/img923/8283/ZbbF3j.jpg,https://imagizer.imageshack.com/img924/8358/2VQqsU.jpg,https://imagizer.imageshack.com/img924/458/7xWmxp.jpg,https://imagizer.imageshack.com/img922/7752/v0yEBz.jpg,https://imagizer.imageshack.com/img922/4926/aD4grr.jpg",
Epsilon Alioth Fenril EX,Epsilon Alioth Fenril,"¥17,000","¥18,700",11/13/2025,1/16/2026,6/25/2026,DAM,"$3,350",6/26/2026,,https://tamashiiweb.com/item/15732,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,God Robe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1/15/2026:Official images were released and the preorder date for the figurine was announced.|6/22/2026:MX:Distribuidora Animexico announced that the release date and price have yet to be confirmed.,,"https://imagizer.imageshack.com/img924/6885/jz1b0y.jpg,https://imagizer.imageshack.com/img922/2073/YUNULc.jpg,https://imagizer.imageshack.com/img921/7854/TZF4Td.jpg,https://imagizer.imageshack.com/img923/9295/Ihpriy.jpg,https://imagizer.imageshack.com/img921/9550/nzFNOR.jpg,https://imagizer.imageshack.com/img924/3787/6hWZyF.jpg,https://imagizer.imageshack.com/img922/9974/PyQxPe.jpg,https://imagizer.imageshack.com/img923/9383/10genk.jpg,https://imagizer.imageshack.com/img922/6655/dbbhHX.jpg,https://imagizer.imageshack.com/img922/1637/zGRQCW.jpg,https://imagizer.imageshack.com/img923/5549/KZ6AGv.jpg,https://imagizer.imageshack.com/img923/5937/aatlTQ.jpg,https://imagizer.imageshack.com/img923/66/VDMfuw.jpg",
Pegasus Seiya ~Final Bronze Cloth~ OCE EX,Pegasus Seiya,"¥16,000","¥17,600",11/13/2025,12/5/2025,5/18/2026,DAM,"$2,950",5/29/2026,6/29/2026,https://tamashiiweb.com/item/15695,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,Bronze Saint V3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,5/2/2026:Tamashii Nations has officially confirmed the release date.|5/25/2026:MX:Distribuidora Animexico announced that the release date and price have yet to be confirmed.,,"https://imagizer.imageshack.com/img923/5373/mM9Vnw.jpg,https://imagizer.imageshack.com/img923/5718/9ekW8o.jpg,https://imagizer.imageshack.com/img922/8738/4a9Xam.jpg,https://imagizer.imageshack.com/img922/2986/iO8mRp.jpg,https://imagizer.imageshack.com/img922/5273/9ZUPz6.jpg,https://imagizer.imageshack.com/img922/6627/0nZnbU.jpg,https://imagizer.imageshack.com/img922/8434/6XcIjt.jpg,https://imagizer.imageshack.com/img924/405/cYUN63.jpg,https://imagizer.imageshack.com/img924/1406/5CMCHo.jpg,https://imagizer.imageshack.com/img922/7430/Odu1aP.jpg,https://imagizer.imageshack.com/img922/6443/r4V7oV.jpg","https://imagizer.imageshack.com/img924/696/jl3l8o.jpg,https://imagizer.imageshack.com/img923/9720/UjedcL.jpg"
Poseidon EX OCE (Restock),Sea Emperor Poseidon,"¥25,000","¥27,500",11/14/2025,11/14/2025,6/2026,,,,,https://tamashiiweb.com/item/15543,Other Limited Edition,Myth Cloth EX,Saint Seiya,Poseidon Scale,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"https://imagizer.imageshack.com/img924/4319/ozsmGT.jpg,https://imagizer.imageshack.com/img924/1097/JoQlR5.jpg,https://imagizer.imageshack.com/img923/3034/5o27AN.jpg,https://imagizer.imageshack.com/img924/7624/wwyooH.jpg,https://imagizer.imageshack.com/img923/3122/2XYDGh.jpg,https://imagizer.imageshack.com/img924/4558/ErSGnT.jpg,https://imagizer.imageshack.com/img924/9282/4dKqze.jpg,https://imagizer.imageshack.com/img923/7203/KiR93K.jpg,https://imagizer.imageshack.com/img923/5249/qb5SBJ.jpg,https://imagizer.imageshack.com/img923/2904/VQXnmG.jpg",
Poseidon EX OCE,Sea Emperor Poseidon,"¥25,000","¥27,500",11/15/2024,8/19/2025,11/14/2025,DAM,"$5,000",10/27/2025,,https://tamashiiweb.com/item/15543,Tamashii Nations,Myth Cloth EX,Saint Seiya,Poseidon Scale,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"This figure was sold exclusively as a commemorative item at TAMASHII NATION 2025. It was also made available in Mexico through a special sale on Tamashii.mx on October 27, 2025",10/27/2025:MX:Special sale via www.tamashii.mx in Mexico|1/13/2026:Mexico shipments are ready,,"https://imagizer.imageshack.com/img924/4319/ozsmGT.jpg,https://imagizer.imageshack.com/img924/1097/JoQlR5.jpg,https://imagizer.imageshack.com/img923/3034/5o27AN.jpg,https://imagizer.imageshack.com/img924/7624/wwyooH.jpg,https://imagizer.imageshack.com/img923/3122/2XYDGh.jpg,https://imagizer.imageshack.com/img924/4558/ErSGnT.jpg,https://imagizer.imageshack.com/img924/9282/4dKqze.jpg,https://imagizer.imageshack.com/img923/7203/KiR93K.jpg,https://imagizer.imageshack.com/img923/5249/qb5SBJ.jpg,https://imagizer.imageshack.com/img923/2904/VQXnmG.jpg",
Leo Ikki ~Inheritor of the Gold Cloth~ EX,Leo Ikki,"¥21,000","¥23,100",8/6/2025,8/8/2025,1/16/2026,DAM,"$3,600",1/30/2026,,https://tamashiiweb.com/item/15540,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,Gold Inheritor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"https://imagizer.imageshack.com/img923/5220/IR6eRL.jpg,https://imagizer.imageshack.com/img924/131/XZUmXQ.jpg,https://imagizer.imageshack.com/img924/9715/3AzpQm.jpg,https://imagizer.imageshack.com/img923/6513/SY8c8O.jpg,https://imagizer.imageshack.com/img923/5792/iJki4Y.jpg,https://imagizer.imageshack.com/img924/1240/LIuGyC.jpg,https://imagizer.imageshack.com/img924/2804/TZmsoF.jpg,https://imagizer.imageshack.com/img923/7002/n7ESfS.jpg,https://imagizer.imageshack.com/img924/989/1G5xDk.jpg,https://imagizer.imageshack.com/img923/4786/fLQPIo.jpg",
Sagittarius Seiya MetalBuild,Sagittarius Seiya,,,7/18/2025,,,,,,,,,EX project Metalbuild,Saint Seiya,Gold Saint,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"https://imagizer.imageshack.com/img923/2156/imfqc5.jpg,https://imagizer.imageshack.com/img922/1827/HsH90h.jpg,https://imagizer.imageshack.com/img921/1558/G8e3q3.jpg,https://imagizer.imageshack.com/img923/2918/JDHXax.jpg",
Andromeda Shun (God Cloth) EX,Andromeda Shun,"¥27,000","¥29,700",6/23/2025,7/1/2025,12/27/2025,DAM,"$5,400",1/5/2026,,https://tamashiiweb.com/item/15429,Stores,Myth Cloth EX,Saint Seiya,Bronze Saint V4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"https://imagizer.imageshack.com/img924/3430/LYgVl8.jpg,https://imagizer.imageshack.com/img922/3557/070u3k.jpg,https://imagizer.imageshack.com/img922/2720/1uztJM.jpg,https://imagizer.imageshack.com/img924/2820/bUKcFp.jpg,https://imagizer.imageshack.com/img922/7586/297W8z.jpg",
